iter	Passed	Remaining
0	71	71445
1	110	54916
2	140	46743
3	173	43196
4	201	40060
5	233	38750
6	267	37987
7	298	36956
8	335	36904
9	368	36481
10	401	36117
11	437	36002
12	470	35712
13	505	35636
14	541	35543
15	578	35582
16	612	35416
17	646	35282
18	683	35286
19	718	35211
20	750	34997
21	787	34989
22	819	34830
23	853	34695
24	883	34462
25	919	34450
26	952	34310
27	985	34209
28	1018	34085
29	1056	34175
30	1088	34035
31	1126	34073
32	1159	33990
33	1193	33907
34	1226	33829
35	1258	33702
36	1293	33656
37	1328	33631
38	1361	33553
39	1397	33541
40	1433	33527
41	1466	33442
42	1502	33448
43	1536	33386
44	1571	33344
45	1605	33292
46	1636	33174
47	1673	33185
48	1706	33112
49	1737	33014
50	1769	32932
51	1801	32842
52	1830	32709
53	1864	32657
54	1897	32603
55	1931	32554
56	1959	32412
57	1994	32396
58	2030	32377
59	2064	32346
60	2096	32279
61	2128	32200
62	2158	32102
63	2190	32031
64	2223	31986
65	2260	31988
66	2296	31979
67	2329	31934
68	2363	31885
69	2396	31833
70	2428	31779
71	2462	31735
72	2495	31688
73	2526	31610
74	2558	31551
75	2591	31509
76	2620	31411
77	2658	31421
78	2694	31410
79	2730	31399
80	2756	31276
81	2788	31217
82	2820	31166
83	2854	31126
84	2889	31102
85	2920	31042
86	2956	31029
87	2990	30996
88	3024	30954
89	3052	30862
90	3084	30814
91	3121	30810
92	3160	30825
93	3192	30771
94	3227	30746
95	3261	30709
96	3292	30652
97	3322	30583
98	3357	30552
99	3390	30510
100	3422	30465
101	3458	30452
102	3495	30444
103	3532	30430
104	3562	30364
105	3598	30348
106	3634	30329
107	3670	30311
108	3702	30267
109	3740	30261
110	3771	30208
111	3802	30151
112	3835	30106
113	3868	30068
114	3903	30040
115	3938	30015
116	3972	29978
117	4004	29931
118	4036	29884
119	4068	29832
120	4102	29799
121	4137	29775
122	4173	29754
123	4210	29743
124	4240	29680
125	4273	29643
126	4306	29606
127	4339	29560
128	4365	29476
129	4393	29403
130	4425	29354
131	4457	29312
132	4490	29269
133	4521	29220
134	4554	29180
135	4589	29156
136	4622	29119
137	4654	29071
138	4685	29024
139	4719	28994
140	4752	28954
141	4786	28919
142	4819	28881
143	4853	28850
144	4887	28819
145	4921	28787
146	4959	28780
147	4992	28740
148	5024	28695
149	5056	28653
150	5087	28606
151	5122	28580
152	5155	28541
153	5187	28496
154	5219	28453
155	5250	28405
156	5281	28359
157	5313	28317
158	5347	28286
159	5381	28254
160	5414	28217
161	5447	28177
162	5479	28137
163	5512	28099
164	5543	28052
165	5578	28027
166	5612	27995
167	5645	27958
168	5678	27922
169	5710	27880
170	5741	27835
171	5772	27789
172	5806	27756
173	5842	27733
174	5874	27693
175	5902	27634
176	5933	27591
177	5965	27548
178	5992	27483
179	6024	27445
180	6056	27402
181	6090	27371
182	6122	27332
183	6154	27293
184	6186	27253
185	6218	27212
186	6250	27174
187	6282	27135
188	6314	27093
189	6347	27061
190	6380	27026
191	6412	26987
192	6448	26963
193	6479	26918
194	6510	26877
195	6542	26838
196	6574	26800
197	6607	26764
198	6642	26737
199	6675	26701
200	6706	26658
201	6738	26620
202	6769	26578
203	6805	26553
204	6837	26516
205	6871	26486
206	6905	26455
207	6933	26402
208	6967	26367
209	6998	26328
210	7038	26317
211	7070	26282
212	7103	26244
213	7136	26209
214	7168	26174
215	7200	26136
216	7231	26092
217	7262	26053
218	7296	26019
219	7328	25983
220	7360	25945
221	7395	25916
222	7430	25890
223	7463	25855
224	7494	25815
225	7529	25786
226	7566	25766
227	7600	25735
228	7633	25699
229	7665	25662
230	7696	25621
231	7728	25584
232	7760	25545
233	7795	25517
234	7826	25478
235	7860	25445
236	7890	25402
237	7923	25369
238	7954	25328
239	7990	25302
240	8021	25261
241	8053	25224
242	8084	25184
243	8118	25153
244	8150	25118
245	8182	25079
246	8216	25048
247	8249	25013
248	8285	24990
249	8318	24955
250	8347	24909
251	8380	24875
252	8413	24842
253	8444	24802
254	8478	24771
255	8511	24736
256	8547	24710
257	8579	24673
258	8612	24639
259	8645	24605
260	8678	24571
261	8712	24541
262	8744	24505
263	8778	24473
264	8810	24435
265	8841	24396
266	8875	24366
267	8906	24326
268	8937	24286
269	8969	24252
270	9004	24221
271	9037	24188
272	9069	24151
273	9101	24116
274	9132	24076
275	9165	24042
276	9197	24006
277	9229	23971
278	9262	23936
279	9290	23889
280	9325	23860
281	9354	23818
282	9385	23778
283	9418	23744
284	9451	23710
285	9482	23673
286	9516	23641
287	9548	23606
288	9580	23570
289	9612	23535
290	9645	23500
291	9680	23472
292	9716	23445
293	9748	23409
294	9784	23383
295	9819	23353
296	9849	23313
297	9886	23288
298	9918	23253
299	9952	23222
300	9987	23194
301	10019	23158
302	10057	23136
303	10090	23102
304	10121	23063
305	10153	23027
306	10187	22997
307	10220	22962
308	10251	22924
309	10284	22891
310	10317	22857
311	10350	22823
312	10383	22790
313	10415	22754
314	10448	22720
315	10482	22689
316	10517	22660
317	10549	22624
318	10582	22590
319	10613	22553
320	10646	22519
321	10681	22491
322	10713	22455
323	10745	22420
324	10776	22382
325	10807	22343
326	10840	22310
327	10872	22274
328	10904	22238
329	10930	22192
330	10962	22156
331	10994	22121
332	11025	22084
333	11057	22049
334	11089	22013
335	11121	21979
336	11158	21952
337	11189	21914
338	11222	21883
339	11255	21849
340	11286	21811
341	11318	21777
342	11347	21736
343	11375	21693
344	11406	21656
345	11439	21623
346	11473	21591
347	11505	21556
348	11538	21522
349	11568	21485
350	11600	21449
351	11631	21413
352	11667	21385
353	11701	21353
354	11734	21319
355	11765	21283
356	11796	21247
357	11826	21208
358	11858	21173
359	11892	21142
360	11924	21107
361	11960	21079
362	11991	21043
363	12024	21009
364	12057	20976
365	12095	20951
366	12127	20917
367	12158	20880
368	12189	20845
369	12221	20809
370	12251	20771
371	12280	20732
372	12313	20699
373	12345	20664
374	12380	20633
375	12412	20599
376	12443	20562
377	12476	20530
378	12509	20496
379	12540	20460
380	12571	20424
381	12602	20387
382	12633	20352
383	12666	20318
384	12698	20284
385	12733	20255
386	12766	20222
387	12800	20190
388	12831	20153
389	12864	20120
390	12894	20083
391	12926	20048
392	12956	20011
393	12988	19976
394	13019	19941
395	13052	19907
396	13084	19874
397	13116	19839
398	13153	19813
399	13185	19778
400	13212	19736
401	13248	19708
402	13279	19671
403	13313	19641
404	13350	19612
405	13382	19579
406	13412	19541
407	13446	19510
408	13478	19475
409	13511	19442
410	13543	19408
411	13577	19377
412	13609	19343
413	13642	19310
414	13672	19273
415	13703	19237
416	13735	19203
417	13769	19171
418	13800	19136
419	13834	19104
420	13869	19074
421	13902	19041
422	13933	19006
423	13967	18974
424	14000	18942
425	14029	18903
426	14062	18870
427	14094	18836
428	14126	18801
429	14158	18768
430	14190	18733
431	14223	18700
432	14254	18665
433	14286	18631
434	14318	18597
435	14351	18565
436	14387	18535
437	14425	18509
438	14457	18475
439	14492	18445
440	14525	18411
441	14557	18377
442	14589	18343
443	14622	18310
444	14653	18276
445	14686	18243
446	14718	18208
447	14749	18173
448	14781	18140
449	14816	18108
450	14847	18074
451	14881	18042
452	14914	18008
453	14945	17973
454	14978	17941
455	15010	17907
456	15041	17872
457	15073	17838
458	15104	17802
459	15138	17771
460	15172	17739
461	15204	17706
462	15237	17672
463	15269	17638
464	15300	17603
465	15332	17569
466	15363	17534
467	15392	17497
468	15423	17462
469	15456	17429
470	15487	17394
471	15518	17360
472	15550	17325
473	15584	17294
474	15616	17260
475	15648	17226
476	15680	17193
477	15712	17158
478	15746	17127
479	15778	17093
