iter	Logloss
0	0.6303834332
1	0.5597003623
2	0.507682446
3	0.4632849733
4	0.4172183615
5	0.3626606033
6	0.3272120531
7	0.2997375995
8	0.2697359319
9	0.2497111429
10	0.2283280899
11	0.2107935883
12	0.1957525644
13	0.1814231362
14	0.1671142808
15	0.1565305806
16	0.1437144206
17	0.1326649658
18	0.1234516046
19	0.1157231156
20	0.1092086376
21	0.1029273601222	0.09891158168223	0.09404658905224	0.09080998482225	0.08427518526226	0.08121856827227	0.07857414628228	0.0761847329	229	0.0733052430	330	0.07139263131	31	0.0698874323232	0.06631254333333	0.0646664934334	0.0635897463535	0.06259704873636	0.06107893383737	0.06025025033838	0.05951144133939	0.05813332344040	0.05748745741	41	0.056570413442	0.05593971737443	0.05492042892444	0.05451601845445	0.05323686669446	0.05150818391447	0.05061209778448	0.05035659358449	0.04965556937550	0.04898463531551	0.04872629627552	0.04797820941553	0.04775600871554	0.04650246676555	0.0458950039
56	0.04538730205
57	0.04527258885
58	0.04488925658
59	0.04439195457
60	0.04348108329
61	0.04330761331
62	0.04287012261
63	0.04248859798
64	0.04170586638
65	0.04082581333666	0.04018446682667	0.03990951699668	0.03965975179669	0.03922992952770	0.03884376233771	0.0384284087
72	0.03805440382773	0.03774017723774	0.03747534317575	0.03720429876	76	0.03677628377	77	0.0365427047878	0.03633702917979	0.03603018980880	0.03569026781881	0.03538379982882	0.03500403483883	0.03477008784884	0.03439668785885	0.0341227986	886	0.033879087	0887	0.033643088	8888	0.033452589	8889	0.033294690	9990	0.033062291	9991	0.032925092	9992	0.03279469393993	0.03250429494994	0.03237969595995	0.03226789696996	0.03219597	97997	0.0321298	099898	0.0319999	099999	0.03187947302
