iter	Passed	Remaining
0	301	29849
1	520	25485
2	690	22336
3	892	21420
4	1094	20794
5	1312	20570
6	1522	20223
7	1698	19536
8	1931	19533
9	2161	19453
10	2383	19282
11	2587	18977
12	2819	18867
13	3012	18502
14	3215	18218
15	3370	17697
16	3618	17665
17	3831	17455
18	3979	16963
19	4140	16562
20	4319	16248
21	4525	16044
22	4687	15692
23	4849	15358
24	5061	15185
25	5263	14980
26	5471	14792
27	5686	14623
28	5906	14459
29	6119	14278
30	6341	14113
31	6556	13933
32	6765	13735
33	6967	13525
34	7169	13314
35	7367	13097
36	7558	12870
37	7749	12643
38	7954	12440
39	8162	12243
40	8371	12046
41	8583	11854
42	8776	11633
43	8990	11441
44	9198	11243
45	9405	11040
46	9614	10842
47	9776	10591
48	9971	10378
49	10172	10172
50	10361	9955
51	10556	9744
52	10770	9551
53	10928	9309
54	11070	9057
55	11280	8863
56	11501	8676
57	11672	8452
58	11883	8257
59	12117	8078
60	12322	7878
61	12551	7693
62	12769	7499
63	12990	7307
64	13201	7108
65	13341	6873
66	13543	6670
67	13770	6480
68	13993	6287
69	14195	6083
70	14364	5867
71	14570	5666
72	14763	5460
73	14996	5269
74	15197	5065
75	15380	4857
76	15586	4655
77	15803	4457
78	16020	4258
79	16246	4061
80	16453	3859
81	16635	3651
82	16865	3454
83	17064	3250
84	17265	3046
85	17464	2843
86	17655	2638
87	17884	2438
88	18102	2237
89	18333	2037
90	18545	1834
91	18755	1630
92	18925	1424
93	19142	1221
94	19345	1018
95	19561	815
96	19784	611
97	19940	406
98	20190	203
99	20395	0
