iter	Passed	Remaining
0	23	6968
1	42	6353
2	61	6062
3	80	5943
4	99	5853
5	118	5797
6	137	5751
7	159	5839
8	181	5863
9	202	5862
10	222	5840
11	255	6123
12	277	6116
13	299	6126
14	318	6059
15	336	5981
16	355	5910
17	374	5862
18	391	5797
19	402	5636
20	421	5604
21	444	5617
22	467	5634
23	489	5626
24	508	5595
25	526	5551
26	545	5516
27	562	5465
28	577	5395
29	590	5317
30	609	5290
31	626	5249
32	642	5201
33	663	5192
34	684	5183
35	705	5171
36	723	5140
37	749	5170
38	761	5099
39	781	5081
40	799	5051
41	822	5052
42	840	5021
43	862	5016
44	878	4980
45	897	4956
46	909	4896
47	926	4864
48	946	4846
49	964	4821
50	982	4797
51	997	4757
52	1014	4727
53	1023	4664
54	1041	4640
55	1058	4610
56	1077	4592
57	1094	4564
58	1111	4539
59	1131	4527
60	1143	4479
61	1157	4441
62	1175	4423
63	1191	4392
64	1200	4340
65	1216	4312
66	1246	4334
67	1265	4318
68	1288	4314
69	1304	4284
70	1325	4274
71	1340	4246
72	1355	4213
73	1368	4177
74	1383	4149
75	1400	4128
76	1415	4098
77	1431	4075
78	1447	4049
79	1465	4029
80	1482	4008
81	1504	4000
82	1524	3986
83	1546	3976
84	1564	3956
85	1579	3931
86	1596	3907
87	1614	3890
88	1631	3868
89	1648	3847
90	1666	3828
91	1687	3815
92	1704	3794
93	1732	3796
94	1753	3784
95	1771	3765
96	1788	3742
97	1804	3719
98	1821	3697
99	1837	3674
100	1854	3654
101	1871	3633
102	1891	3617
103	1908	3597
104	1926	3578
105	1944	3558
106	1969	3551
107	1986	3531
108	2002	3509
109	2016	3483
110	2033	3461
111	2048	3437
112	2066	3420
113	2085	3401
114	2104	3386
115	2123	3367
116	2142	3350
117	2162	3335
118	2176	3311
119	2192	3289
120	2206	3264
121	2227	3249
122	2243	3228
123	2257	3204
124	2273	3183
125	2288	3159
126	2307	3142
127	2323	3122
128	2339	3101
129	2355	3080
130	2374	3063
131	2390	3041
132	2404	3018
133	2418	2996
134	2432	2973
135	2447	2950
136	2462	2929
137	2476	2907
138	2492	2886
139	2510	2868
140	2524	2846
141	2541	2827
142	2556	2806
143	2575	2790
144	2590	2769
145	2604	2746
146	2620	2726
147	2633	2705
148	2647	2683
149	2661	2661
150	2675	2640
151	2690	2620
152	2706	2600
153	2729	2587
154	2748	2571
155	2765	2552
156	2784	2536
157	2798	2515
158	2813	2494
159	2827	2473
160	2841	2453
161	2855	2432
162	2868	2411
163	2885	2392
164	2899	2372
165	2918	2355
166	2933	2336
167	2949	2317
168	2965	2298
169	2982	2280
170	2996	2260
171	3011	2240
172	3025	2220
173	3039	2200
174	3053	2180
175	3067	2161
176	3082	2141
177	3097	2122
178	3114	2105
179	3129	2086
180	3151	2071
181	3166	2052
182	3188	2038
183	3202	2019
184	3222	2003
185	3238	1984
186	3251	1965
187	3266	1945
188	3279	1926
189	3297	1908
190	3319	1894
191	3340	1879
192	3362	1864
193	3390	1852
194	3413	1838
195	3435	1823
196	3458	1808
197	3474	1789
198	3488	1770
199	3505	1752
200	3523	1735
201	3538	1716
202	3552	1697
203	3569	1679
204	3587	1662
205	3604	1644
206	3619	1626
207	3633	1607
208	3647	1588
209	3660	1568
210	3674	1549
211	3687	1530
212	3701	1511
213	3722	1495
214	3743	1480
215	3759	1462
216	3779	1445
217	3794	1427
218	3810	1409
219	3826	1391
220	3840	1372
221	3854	1354
222	3868	1335
223	3882	1317
224	3895	1298
225	3909	1280
226	3923	1261
227	3938	1243
228	3955	1226
229	3972	1208
230	3989	1191
231	4007	1174
232	4024	1157
233	4039	1139
234	4053	1121
235	4067	1103
236	4081	1084
237	4094	1066
238	4110	1049
239	4127	1031
240	4147	1015
241	4167	998
242	4184	981
243	4204	964
244	4227	949
245	4246	932
246	4260	914
247	4274	896
248	4288	878
249	4302	860
250	4316	842
251	4330	824
252	4345	807
253	4362	790
254	4378	772
255	4397	755
256	4413	738
257	4433	721
258	4449	704
259	4463	686
260	4477	669
261	4491	651
262	4505	633
263	4519	616
264	4534	598
265	4555	582
266	4570	564
267	4590	548
268	4608	531
269	4624	513
270	4640	496
271	4655	479
272	4669	461
273	4683	444
274	4698	427
275	4720	410
276	4735	393
277	4752	376
278	4769	358
279	4783	341
280	4804	324
281	4821	307
282	4841	290
283	4855	273
284	4870	256
285	4884	239
286	4897	221
287	4911	204
288	4925	187
289	4941	170
290	4955	153
291	4973	136
292	4989	119
293	5006	102
294	5022	85
295	5039	68
296	5056	51
297	5071	34
298	5085	17
299	5100	0
